,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent,STATE,D,FEC ID#,Cand_Id,GE WINNER INDICATOR
0,"CHESNUT, DEBRA SUE",AK,0.0,DEM,2012,,27.5,REP,0.306755208,0,0.33481,0.0,,True,4.0,67712.0,93,17.34,81.6,19660.0,24388.0,Alaska,00,H2AK00127,H2AK00127,
1,"CISSNA, SHARON MARIE",AK,0.0,DEM,2012,,27.5,REP,0.306755208,0,0.33481,0.0,,True,4.0,67712.0,63,50.32,81.6,19660.0,24388.0,Alaska,00,H2AK00119,H2AK00119,
2,"COX, JOHN ROBERT",AK,0.0,REP,2012,,27.5,REP,0.693244792,0,0.33481,1.0,,False,4.0,67712.0,6,14.94,81.6,1003531.63,665974.39,Alaska,00,H0AK00097,H0AK00097,
3,"DESJARLAIS, CLINTON",AK,0.0,IND,2012,,27.5,REP,0.0,0,0.33481,1.0,,False,4.0,67712.0,162,,81.6,,,,,,,
4,"FULLER, FLETCHER G., JR.",AK,0.0,IND,2012,,27.5,REP,0.0,0,0.33481,1.0,,False,4.0,67712.0,500,,81.6,,,,,,,
5,"GALES, TERRE L",AK,0.0,REP,2012,,27.5,REP,0.693244792,0,0.33481,0.0,,False,4.0,67712.0,500,6.47,81.6,1003531.63,665974.39,Alaska,00,H2AK00135,H2AK00135,
6,"GIANOUTSOS, TED",AK,0.0,IND,2012,,27.5,REP,0.0,0,0.33481,1.0,,False,4.0,67712.0,181,,81.6,,,Alaska,00,H2AK00176,H2AK00176,
7,"HILL, SIDNEY I.",AK,0.0,IND,2012,,27.5,REP,0.0,0,0.33481,1.0,,False,4.0,67712.0,500,,81.6,,,,,,,
8,"MCDERMOTT, JIM C",AK,0.0,LIB,2012,,27.5,REP,0.0,0,0.33481,1.0,,False,4.0,67712.0,5,100.00,81.6,,,Alaska,00,H2AK00143,H2AK00143,
9,"MOORE, MATTHEW EDWARD",AK,0.0,DEM,2012,,27.5,REP,0.306755208,0,0.33481,1.0,,True,4.0,67712.0,10,22.73,81.6,19660.0,24388.0,Alaska,00,H2AK00101,H2AK00101,
10,"URQUIDI, DOUGLAS C",AK,0.0,DEM,2012,,27.5,REP,0.306755208,0,0.33481,1.0,,True,4.0,67712.0,50,3.19,81.6,19660.0,24388.0,Alaska,00,H2AK00093,H2AK00093,
11,"VONDERSAAR, FRANK J",AK,0.0,DEM,2012,,27.5,REP,0.306755208,0,0.33481,1.0,,True,4.0,67712.0,65,6.43,81.6,19660.0,24388.0,Alaska,00,H4AK00057,H4AK00057,
12,"YOUNG, DONALD E",AK,0.0,REP,2012,,27.5,REP,0.693244792,1,0.33481,1.0,,False,4.0,67712.0,42,78.59,81.6,1003531.63,665974.39,Alaska,00,H6AK00045,H6AK00045,W
13,"BONNER, JOSIAH ROBIAS",AL,1.0,REP,2012,0.390788721,21.2,REP,0.830414361,1,0.32177,1.0,0.36,False,4.0,41450.0,500,55.55,77.32667,1140566.63,1263168.28,Alabama,01,H2AL01077,H2AL01077,W
14,"GOUNARES, PETER HUNTER",AL,1.0,REP,2012,0.390788721,21.2,REP,0.830414361,0,0.32177,1.0,0.36,False,4.0,41450.0,55,4.40,77.32667,1140566.63,1263168.28,Alabama,01,H0AL01030,H0AL01030,
15,"RAILEY, CURTIS MONROE",AL,1.0,IND,2012,0.390788721,21.2,REP,0.0,0,0.32177,1.0,0.36,False,4.0,41450.0,96,,77.32667,,,,,,,
16,"RIEHM, PETER (PETE) J A",AL,1.0,REP,2012,0.390788721,21.2,REP,0.830414361,0,0.32177,1.0,0.36,False,4.0,41450.0,55,15.75,77.32667,1140566.63,1263168.28,Alabama,01,H2AL01184,H2AL01184,
17,"YOUNG, LARRY DEAN JR",AL,1.0,REP,2012,0.390788721,21.2,REP,0.830414361,0,0.32177,1.0,0.36,False,4.0,41450.0,58,24.30,77.32667,1140566.63,1263168.28,Alabama,01,H2AL01176,H2AL01176,
18,"FORD, THERESE",AL,2.0,DEM,2012,0.407023755,20.9,REP,0.489062285,0,0.33997,0.0,0.36,True,4.0,40833.0,500,100.00,80.9,0.0,0.0,Alabama,02,H2AL02141,H2AL02141,
