,Unnamed: 0,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent
0,10162,"HAFNER, CAROL",AK,0.0,DEM,2018,,28.8,IND,0.0,0,0.35812,0.0,0.48,False,0.0,73181.0,130,14.8,76.1,1180622.04,906116.91
1,10164,"ARRAS, JENNIFER O'FARRILL MRS.",AL,1.0,DEM,2018,0.352134031,23.3,REP,0.0,0,0.32747,0.0,0.62,False,0.0,47984.0,1,0.0,74.3,76091.03,31564.26
2,10169,"AMASON, THOMAS MARRION III",AL,2.0,REP,2018,0.38088447299999995,21.8,REP,0.5463448329999999,0,0.35441,1.0,0.62,True,4.0,46579.0,20,6.1,76.3,2479632.21,2065173.18
3,10175,"HAGAN, MALLORY",AL,3.0,DEM,2018,0.40499556700000006,21.2,REP,0.32912403100000004,0,0.31324,0.0,0.62,False,4.0,46484.0,500,65.8,76.6,326639.05,302355.16
4,10184,"ADERHOLT, ROBERT B. REP.",AL,4.0,REP,2018,0.215546212,16.3,REP,1.0,1,0.13330999999999998,1.0,0.62,True,4.0,43218.0,7,81.5,76.06,1452763.64,834621.99
5,10187,"BROOKS, MO",AL,5.0,REP,2018,0.326284363,30.5,REP,0.668447749,1,0.24224,1.0,0.62,True,0.0,54707.0,500,61.3,78.3,1421378.49,1824411.31
6,10192,"KLINE, DANNER",AL,6.0,DEM,2018,0.424078668,35.2,REP,0.252320814,0,0.21696999999999997,1.0,0.62,False,0.0,65170.0,500,100.0,78.3,256383.23,161621.12
7,10194,"RICE, RICHARD BRAND NEW",AL,7.0,DEM,2018,0.545118589,19.1,REP,1.0,0,0.66866,1.0,0.62,False,,35988.0,16,0.0,77.04737,1592201.45,868548.99
9,10198,"CRAWFORD, ERIC ALAN RICK",AR,1.0,REP,2018,0.345055018,15.7,REP,0.76511694,1,0.2275,1.0,0.54,True,4.0,41143.0,14,100.0,78.4,948321.16,738143.63
10,10205,"COMBS, GWENDOLYNN MILLEN MRS.",AR,2.0,DEM,2018,0.44301526,28.4,REP,0.368399926,0,0.29367,0.0,0.54,False,4.0,51287.0,500,20.3,77.2,1670546.59,1440062.32
11,10207,"MAHONY, JOSH",AR,3.0,DEM,2018,0.32138274,25.6,REP,0.0,0,0.17109000000000002,1.0,0.54,False,0.0,51335.0,500,100.0,77.7,214334.74,198947.83
12,10219,"CALDWELL, RANDY",AR,4.0,REP,2018,0.321191108,16.1,REP,0.748985137,0,0.25909,1.0,0.54,True,,40903.0,77,20.1,78.1,1511869.85,817718.03
14,10229,"CAVANAUGH, KEVIN",AZ,1.0,REP,2018,0.481411925,23.6,REP,0.435040754,0,0.3353,1.0,0.47,True,4.0,50303.0,13,0.0,74.5,0.0,0.0
15,10239,"FOSTER, WILLIAM ABBOTT PHD",AZ,2.0,DEM,2018,0.5532440470000001,33.0,REP,0.43332410899999996,0,0.18355,1.0,0.47,False,0.0,53516.0,9,0.0,74.6,3677716.16,2662198.12
