,index,Cand_Id,Cand_Name,Cand_Office_Dist,Cand_Office_St,Cand_Party_Affiliation,D,DISTRICT,FEC ID#,Gender,Incumbent,Median_Income,Party_Previous_Vote_Share,Presidential_Approval_Rating,Primary.Vote.Percent,Raised,STATE,Same_Party_As_President,Spent,Unnamed: 0,Year,gov_party,labor_force,minority_percentage,name_commonness,percent_bachelor_or_above,recent_presidential_vote,seat_transition
0,3,H6AK00045,"YOUNG, DONALD E",0.0,AK,REP,,0,H6AK00045,1.0,1.0,64576.0,0.503333091,0.38,70.35,1001015.37,Alaska,False,887310.33,3.0,2010.0,REP,78.1,0.32569000000000004,42.0,27.0,,4.0
1,4,H2AL01077,"BONNER, JO",1.0,AL,REP,,1,H2AL01077,1.0,1.0,41172.0,1.0,0.41,75.25,913052.62,Alabama,False,1101701.0,4.0,2010.0,REP,79.8,0.32626,500.0,20.5,0.390788721,4.0
2,12,H0AL02087,"ROBY, MARTHA",2.0,AL,REP,,2,H0AL02087,0.0,0.0,40567.0,0.496880946,0.41,48.55,1253557.11,Alabama,False,1240275.64,12.0,2010.0,REP,80,0.35261,161.0,19.3,0.407023755,0.0
3,14,H2AL03032,"ROGERS, MICHAEL",3.0,AL,REP,,3,H2AL03032,1.0,1.0,35452.0,0.5409950410000001,0.41,100.0,1141732.43,Alabama,False,943059.56,14.0,2010.0,REP,79.34211,0.35445,1.0,19.5,0.456924713,4.0
4,17,H6AL04098,"ADERHOLT, ROBERT BROWN",4.0,AL,REP,,4,H6AL04098,1.0,1.0,36715.0,0.748582669,0.41,100.0,828588.47,Alabama,False,969814.03,17.0,2010.0,REP,78.78095,0.08851,7.0,13.1,0.239855583,0.0
5,18,H0AL05163,"BROOKS, MO",5.0,AL,REP,,5,H0AL05163,1.0,0.0,45856.0,0.481988496,0.41,50.81,861210.63,Alabama,False,810790.4,18.0,2010.0,REP,77.9,0.23288000000000003,500.0,26.7,0.369056549,4.0
6,25,H2AL06035,"BACHUS, SPENCER T.",6.0,AL,REP,,6,H2AL06035,1.0,1.0,55559.0,1.0,0.41,75.64,1415671.8,Alabama,False,1634114.19,25.0,2010.0,REP,78.9,0.1706,500.0,33.6,0.425701714,4.0
7,36,H0AL07086,"SEWELL, TERRI A.",7.0,AL,DEM,,7,H0AL07086,0.0,0.0,31047.0,1.0,0.41,36.8,1739832.56,Alabama,True,1703658.3,36.0,2010.0,REP,78.9,0.6580600000000001,148.0,17.1,0.522854019,
8,44,H0AR01083,"CRAWFORD, ERIC ALAN RICK",1.0,AR,REP,,1,H0AR01083,1.0,0.0,33862.0,0.0,0.4,71.79,1263738.21,Arkansas,False,1172566.21,44.0,2010.0,DEM,77.2,0.19296,14.0,13.7,0.38612868,4.0
9,54,H0AR02107,"GRIFFIN, JOHN TIMOTHY",2.0,AR,REP,,2,H0AR02107,1.0,0.0,43685.0,0.0,0.4,61.69,1855578.1,Arkansas,False,1774143.0,54.0,2010.0,DEM,77,0.25533,6.0,25.8,0.447858288,0.0
