"SHEIN, DIMITRI",AK,0,DEM,2018,23.1
"YOUNG, DONALD E",AK,0,REP,2018,70.9
"KENNEDY, ROBERT JR.",AL,1,DEM,2018,80.8
"BYRNE, BRADLEY ROBERTS",AL,1,REP,2018,100
"ISNER, TABITHA KAY",AL,2,DEM,2018,60.4
"BRIGHT, BOBBY NEAL SR.",AL,2,REP,2018,28.1
"HAGAN, MALLORY",AL,3,DEM,2018,65.8
"ROGERS, MICHAEL",AL,3,REP,2018,100
"ADERHOLT, ROBERT B. REP.",AL,4,REP,2018,81.5
"AUMAN, JAMES LEE",AL,4,DEM,2018,54.1
"JOFFRION, PETER S.",AL,5,DEM,2018,100
"BROOKS, MO",AL,5,REP,2018,61.3
"KLINE, DANNER",AL,6,DEM,2018,100
"PALMER, GARY",AL,6,REP,2018,100
"SEWELL, TERRI A.",AL,7,DEM,2018,100
"CRAWFORD, ERIC ALAN RICK",AR,1,REP,2018,100
"DESAI, CHINTAN",AR,1,DEM,2018,100
"TUCKER, EVERETT CLARKE IV",AR,2,DEM,2018,57.8
"HILL, JAMES FRENCH",AR,2,REP,2018,100
"MAHONY, JOSH",AR,3,DEM,2018,100
"WOMACK, STEVE",AR,3,REP,2018,83.8
"WESTERMAN, BRUCE",AR,4,REP,2018,79.9
"SHAMEL, HAYDEN CATHERINE",AR,4,DEM,2018,100
"O'HALLERAN, TOM",AZ,1,DEM,2018,100
"ROGERS, WENDY",AZ,1,REP,2018,43.7
"SHEDD, TIFFANY",AZ,1,REP,2018,18.5
"KIRKPATRICK, ANN",AZ,2,DEM,2018,41.4
"MARQUEZ PETERSON, LEA",AZ,2,REP,2018,33.6
"PIERSON, JOE NICOLAS",AZ,3,REP,2018,51.5
"GRIJALVA, RAUL M",AZ,3,DEM,2018,100
"BRILL, DAVID H",AZ,4,DEM,2018,53
"GOSAR, PAUL DR.",AZ,4,REP,2018,100
"GREENE, JOAN",AZ,5,DEM,2018,60
"MALIK, ANITA",AZ,6,DEM,2018,40.6
"SCHWEIKERT, DAVID",AZ,6,REP,2018,100
"GALLEGO, RUBEN",AZ,7,DEM,2018,74.4
"MIRANDA, CATHERINE",AZ,7,DEM,2018,25.6
"LESKO, DEBBIE",AZ,8,REP,2018,77.2
"TIPIRNENI, HIRAL",AZ,8,DEM,2018,100
"DOWLING, SANDRA ELAINE DR",AZ,8,REP,2018,22.8
"FERRARA, STEVE MD",AZ,9,REP,2018,58.9
"DENNEY, AUDREY",CA,1,DEM,2018,17.2
"LAMALFA, DOUG",CA,1,REP,2018,52.5
"MENSING, DALE KENNETH",CA,2,REP,2018,23.1
"HUFFMAN, JARED",CA,2,DEM,2018,70.7
"GARAMENDI, JOHN",CA,3,DEM,2018,53.6
"SCHAUPP, CHARLES EUGENE",CA,3,REP,2018,42.2
"MORSE, JESSICA",CA,4,DEM,2018,20.1
"MCCLINTOCK, THOMAS",CA,4,REP,2018,52.4
"THOMPSON, MIKE MR.",CA,5,DEM,2018,79.1
"JEFFERSON, JRMAR",CA,6,DEM,2018,100
"GRANT, ANDREW",CA,7,REP,2018,32.6
"BERA, AMERISH",CA,7,DEM,2018,51.7
"DOYLE, MARGE",CA,8,DEM,2018,21.5
"COOK, PAUL",CA,8,REP,2018,41.4
"MCNERNEY, GERALD MARK",CA,9,DEM,2018,53.6
"LIVENGOOD, MARLA",CA,9,REP,2018,40.6
"HARDER, JOSH",CA,10,DEM,2018,16.7
"DENHAM, JEFF",CA,10,REP,2018,37.8
"DESAULNIER, MARK",CA,11,DEM,2018,67.8
"FITZGERALD, JOHN",CA,11,REP,2018,24
"REMMER, LISA",CA,12,REP,2018,9.5
"PELOSI, NANCY",CA,12,DEM,2018,68.8
"LEE, BARBARA",CA,13,DEM,2018,100
"SPEIER, JACKIE",CA,14,DEM,2018,100
"OSMENA, CRISTINA",CA,14,REP,2018,100
"PETERS, RUDY PETERS",CA,15,REP,2018,27.5
"SWALWELL, ERIC MICHAEL",CA,15,DEM,2018,69.3
